City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Country,Date,Wind Speed
355,Pacific Grove,36.6177,-121.9166,58.68,68,0,US,1675723385,9.22
356,Severo-Kuril'sk,50.6789,156.125,23.9,77,100,RU,1675723671,27.4
357,Sinnamary,5.3833,-52.95,76.06,89,81,GF,1675723671,13.38
358,Pingliang,35.5392,106.6861,33.57,52,85,CN,1675723671,1.54
359,Atambua,-9.1061,124.8925,75.49,83,72,ID,1675723672,1.99
360,Takapau,-40.0333,176.35,72.63,51,0,NZ,1675723672,2.1
361,Yar-Sale,66.8333,70.8333,-7.51,99,92,RU,1675723654,5.7
362,Changping,40.2186,116.2197,15.44,67,1,CN,1675723673,1.52
363,Acapulco de Juárez,16.8634,-99.8901,84.02,65,0,MX,1675723422,8.05
364,Bam,29.106,58.357,57.43,34,5,IR,1675723673,4.88
365,Tigbao,12.5546,123.3389,77.59,86,49,PH,1675723675,10.31
366,Lithgow,-33.4833,150.15,67.41,66,83,AU,1675723675,6.42
367,Ambilobe,-13.2,49.05,71.58,97,100,MG,1675723676,2.06
368,Nyurba,63.2842,118.3319,-45.18,100,92,RU,1675723676,1.12
369,Longyearbyen,78.2186,15.6401,26.44,93,100,SJ,1675723677,25.32
370,Barcelona,41.3888,2.159,52.84,55,20,ES,1675723677,13.8
371,Tambun,-6.2641,107.0712,83.48,69,99,ID,1675723678,3.94
372,Hīt,33.6416,42.8251,52.59,44,14,IQ,1675723679,10.4
373,Limulunga,-15.0969,23.1376,66.99,96,100,ZM,1675723680,4.47
374,São Filipe,14.8961,-24.4956,68.45,62,16,CV,1675723680,17.69
375,Te Anau,-45.4167,167.7167,57.6,92,99,NZ,1675723478,7.43
376,Jämsä,61.8642,25.19,25.52,87,98,FI,1675723681,6.33
377,Esperance,-33.8667,121.9,68.58,86,6,AU,1675723655,17.67
378,Pangnirtung,66.1451,-65.7125,-22.0,69,20,CA,1675723681,18.41
379,Colonia Nueva Germania,-23.9,-56.5667,82.67,49,98,PY,1675723681,2.93
380,Paamiut,61.994,-49.6678,9.73,92,100,GL,1675723683,5.23
381,Taylorville,39.5489,-89.2945,51.85,62,0,US,1675723615,18.41
382,Sant Feliu de Guíxols,41.7833,3.0333,47.91,39,53,ES,1675723684,14.09
383,Vacaria,-28.5122,-50.9339,63.55,77,66,BR,1675723684,5.88
384,Beira,-19.8436,34.8389,77.09,94,20,MZ,1675723685,5.01
385,Requena,39.4883,-1.1004,37.53,89,100,ES,1675723401,9.06
386,Langxiang,46.95,128.8833,-1.79,100,92,CN,1675723686,3.18
387,La Santisima Trinidad,-14.8333,-64.9,80.58,83,75,BO,1675723686,0.0
